Year,China,Britain,Italy,Japan,India,,
1600,986.8686869,1082,1363.020335,573.8486863,682,,
1601,985.3905282,1081.748061,1363.708505,573.5437811,681.0909361,,
1602,983.9145837,1081.49618,1364.397023,573.2390379,680.1830838,,
1603,982.4408498,1081.244358,1365.085888,572.9344566,679.2764417,,
1604,980.9693233,1080.992594,1365.7751,572.6300372,678.3710081,,
1605,979.5000009,1080.740889,1366.464661,572.3257794,677.4667814,,
1606,978.0328793,1080.489243,1367.15457,572.0216834,676.5637599,,
1607,976.5679552,1080.237655,1367.844827,571.7177489,675.6619422,,
1608,975.1052253,1079.986126,1368.535433,571.413976,674.7613265,,
1609,973.6446863,1079.734655,1369.226388,571.1103644,673.8619112,,
1610,972.1863349,1079.483243,1369.917691,570.8069141,672.9636948,,
1611,970.7301679,1079.23189,1370.609343,570.5036251,672.0666757,,
1612,969.276182,1078.980595,1371.301345,570.2004972,671.1708523,,
1613,967.8243739,1078.729359,1371.993696,569.8975304,670.2762229,,
1614,966.3747404,1078.478181,1372.686396,569.5947246,669.3827861,,
1615,964.9272782,1078.227061,1373.379447,569.2920797,668.4905401,,
1616,963.481984,1077.976,1374.072847,568.9895955,667.5994834,,
1617,962.0388546,1077.724998,1374.766597,568.6872721,666.7096145,,
1618,960.5978868,1077.474054,1375.460697,568.3851093,665.8209317,,
1619,959.1590773,1077.223168,1376.155148,568.0831071,664.9334334,,
1620,957.7224228,1076.972341,1376.84995,567.7812653,664.0471182,,
1621,956.2879203,1076.721572,1377.545102,567.4795839,663.1619843,,
1622,954.8555664,1076.470862,1378.240606,567.1780628,662.2780303,,
1623,953.4253579,1076.22021,1378.93646,566.876702,661.3952545,,
1624,951.9972916,1075.969616,1379.632666,566.5755012,660.5136554,,
1625,950.5713643,1075.719081,1380.329223,566.2744605,659.6332314,,
1626,949.1475728,1075.468604,1381.026132,565.9735797,658.753981,,
1627,947.7259138,1075.218185,1381.723393,565.6728588,657.8759026,,
1628,946.3063843,1074.967825,1382.421006,565.3722977,656.9989946,,
1629,944.888981,1074.717523,1383.118971,565.0718962,656.1232554,,
1630,943.4737007,1074.467279,1383.817289,564.7716544,655.2486836,,
1631,942.0605403,1074.217093,1384.515959,564.4715722,654.3752775,,
1632,940.6494965,1073.966966,1385.214981,564.1716493,653.5030356,,
1633,939.2405663,1073.716897,1385.914357,563.8718858,652.6319563,,
1634,937.8337463,1073.466886,1386.614086,563.5722816,651.7620382,,
1635,936.4290336,1073.216934,1387.314168,563.2728366,650.8932796,,
1636,935.0264248,1072.967039,1388.014604,562.9735507,650.025679,,
1637,933.625917,1072.717203,1388.715393,562.6744238,649.1592348,,
1638,932.2275068,1072.467425,1389.416536,562.3754559,648.2939456,,
1639,930.8311912,1072.217705,1390.118033,562.0766468,647.4298097,,
1640,929.4369671,1071.968044,1390.819884,561.7779964,646.5668257,,
