timestamp,Q1
1/23/2019 8:16:55,Sarah is likely a holistic healer.
1/23/2019 8:17:03,Sarah is likely a holistic healer.
1/23/2019 8:17:05,Sarah is likely a holistic healer.
1/23/2019 8:17:05,Sarah is likely a school teacher.
1/23/2019 8:17:06,Sarah is likely a holistic healer.
1/23/2019 8:17:07,Sarah is likely a holistic healer.
1/23/2019 8:17:10,Sarah is likely a holistic healer.
1/23/2019 8:17:10,Sarah is likely a school teacher.
1/23/2019 8:17:12,Sarah is likely a holistic healer.
1/23/2019 8:17:17,Sarah is likely a school teacher.
1/23/2019 8:17:23,Sarah is likely a school teacher.
1/23/2019 8:17:25,Sarah is likely a holistic healer.
1/23/2019 8:17:34,Sarah is likely a holistic healer.
1/23/2019 8:17:39,Sarah is likely a holistic healer.
1/23/2019 8:17:41,Sarah is likely a school teacher.
1/23/2019 8:17:47,Sarah is likely a holistic healer.
1/23/2019 8:17:50,Sarah is likely a school teacher.
1/23/2019 8:17:58,Sarah is likely a holistic healer.
1/23/2019 8:18:02,Sarah is likely a school teacher.
1/23/2019 8:18:19,Sarah is likely a school teacher.
1/23/2019 8:19:24,Sarah is likely a school teacher.
1/23/2019 9:47:13,Sarah is likely a holistic healer.
1/23/2019 9:47:16,Sarah is likely a holistic healer.
1/23/2019 9:47:18,Sarah is likely a school teacher.
1/23/2019 9:47:23,Sarah is likely a holistic healer.
1/23/2019 9:47:26,Sarah is likely a school teacher.
1/23/2019 9:47:26,Sarah is likely a holistic healer.
1/23/2019 9:47:29,Sarah is likely a holistic healer.
1/23/2019 9:47:31,Sarah is likely a holistic healer.
1/23/2019 9:47:33,Sarah is likely a holistic healer.
1/23/2019 9:47:41,Sarah is likely a holistic healer.
1/23/2019 9:48:01,Sarah is likely a holistic healer.
