StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q2_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What percent of North American and European countries are members of NATO (the North American Treaty Organizations)? - % NATO members,What percent of North American and European countries are members of NATO (the North American Treaty Organizations)? - % NATO members
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID1_1""}"
2019-01-23 08:18:06,2019-01-23 08:18:38,IP Address,128.187.116.21,100,32,True,2019-01-23 08:18:38,R_1MMUbb8guI2RcAl,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,87,
2019-01-23 08:18:13,2019-01-23 08:18:47,IP Address,128.187.116.19,100,34,True,2019-01-23 08:18:47,R_SOTzrjpczQ2HKaR,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,82
2019-01-23 08:18:24,2019-01-23 08:18:47,IP Address,128.187.116.28,100,22,True,2019-01-23 08:18:47,R_3sbrviudoa8rEbO,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,80
2019-01-23 08:18:18,2019-01-23 08:18:49,IP Address,128.187.116.29,100,31,True,2019-01-23 08:18:50,R_5749psnDyRHAhpv,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,30,
2019-01-23 08:18:26,2019-01-23 08:18:55,IP Address,128.187.116.18,100,28,True,2019-01-23 08:18:55,R_1py5IC2mAJhi7Vm,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,50
2019-01-23 08:18:16,2019-01-23 08:19:00,IP Address,128.187.116.9,100,43,True,2019-01-23 08:19:00,R_2y7PkEfMBl8GLnS,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,10,
2019-01-23 08:18:29,2019-01-23 08:19:00,IP Address,128.187.116.7,100,30,True,2019-01-23 08:19:01,R_2WN0xOq0mDIqsDj,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,50,
2019-01-23 08:17:59,2019-01-23 08:19:02,IP Address,128.187.116.10,100,63,True,2019-01-23 08:19:02,R_Tt1P9CvrxrenGG5,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,80,
2019-01-23 08:18:49,2019-01-23 08:19:15,IP Address,128.187.116.30,100,25,True,2019-01-23 08:19:16,R_1EWFpTt5pHgQHJq,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,91,
2019-01-23 08:18:05,2019-01-23 08:19:16,IP Address,128.187.116.7,100,71,True,2019-01-23 08:19:17,R_1DqygCUeBYKDy3t,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,3,
2019-01-23 08:18:58,2019-01-23 08:19:19,IP Address,128.187.116.7,100,21,True,2019-01-23 08:19:20,R_1ON71cZHNDOOkNW,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,20
2019-01-23 08:18:52,2019-01-23 08:19:21,IP Address,128.187.116.3,100,28,True,2019-01-23 08:19:23,R_3rMcO4IHdieZMr5,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,28
2019-01-23 08:18:34,2019-01-23 08:19:34,IP Address,128.187.116.26,100,60,True,2019-01-23 08:19:35,R_x9gk7ID4GPsno3v,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,30
2019-01-23 08:18:57,2019-01-23 08:19:42,IP Address,128.187.116.22,100,44,True,2019-01-23 08:19:42,R_1mxYKgmWzq7Fwx4,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,60
2019-01-23 08:19:00,2019-01-23 08:19:42,IP Address,128.187.116.29,100,42,True,2019-01-23 08:19:43,R_2PcGM65nzmM2kRW,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,5,
2019-01-23 08:19:38,2019-01-23 08:19:48,IP Address,128.187.116.18,100,9,True,2019-01-23 08:19:48,R_3W9YpbqE9swIkjn,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,8
2019-01-23 08:19:22,2019-01-23 08:19:55,IP Address,128.187.116.2,100,32,True,2019-01-23 08:19:55,R_2rxu65BQIIyqeSL,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,40
2019-01-23 08:19:03,2019-01-23 08:20:22,IP Address,128.187.116.22,100,79,True,2019-01-23 08:20:22,R_1qU8iMaHPzkENh5,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,46,
2019-01-23 08:19:36,2019-01-23 08:20:31,IP Address,128.187.116.13,100,54,True,2019-01-23 08:20:31,R_1IvfHTaflIt9Ipo,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,30,
2019-01-23 08:19:28,2019-01-23 08:20:35,IP Address,128.187.116.27,100,67,True,2019-01-23 08:20:35,R_3r0tOM6bCInJA9L,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,40,
2019-01-23 08:20:31,2019-01-23 08:21:25,IP Address,174.208.26.160,100,53,True,2019-01-23 08:21:25,R_2bZW5mPDMGIk819,,,,,40.76080322265625,-111.8910980224609375,anonymous,EN,,91
2019-01-23 08:20:37,2019-01-23 08:21:42,IP Address,128.187.116.14,100,64,True,2019-01-23 08:21:42,R_3pnyEJSt34YKpRa,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,82,
2019-01-23 09:48:24,2019-01-23 09:48:53,IP Address,128.187.116.13,100,29,True,2019-01-23 09:48:53,R_1hXSn1uwxDXBL1n,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,50
2019-01-23 09:48:34,2019-01-23 09:49:03,IP Address,128.187.116.26,100,29,True,2019-01-23 09:49:03,R_1k1chG8jPgDn5gK,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,80
2019-01-23 09:48:16,2019-01-23 09:49:03,IP Address,128.187.116.6,100,47,True,2019-01-23 09:49:03,R_3O6qYZYW9hqNCdZ,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,57
2019-01-23 09:48:21,2019-01-23 09:49:04,IP Address,128.187.116.25,100,42,True,2019-01-23 09:49:04,R_2QFmWWCiixIWo4E,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,60,
2019-01-23 09:48:29,2019-01-23 09:49:04,IP Address,128.187.116.16,100,35,True,2019-01-23 09:49:05,R_29cO3YLrfLfU9DS,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,92,
2019-01-23 09:48:40,2019-01-23 09:49:09,IP Address,128.187.116.6,100,28,True,2019-01-23 09:49:09,R_1lAfi31bhYJGLSm,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,38
2019-01-23 09:48:34,2019-01-23 09:49:08,IP Address,128.187.116.24,100,34,True,2019-01-23 09:49:09,R_10NHnxm8nooclMB,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,90,
2019-01-23 09:48:36,2019-01-23 09:49:16,IP Address,128.187.116.22,100,40,True,2019-01-23 09:49:16,R_22Q6dVozhBpy9Yo,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,49,
2019-01-23 09:48:50,2019-01-23 09:49:26,IP Address,128.187.116.3,100,35,True,2019-01-23 09:49:26,R_26am0hCIVDM8Z5P,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,71,
2019-01-23 09:49:30,2019-01-23 09:49:52,IP Address,128.187.116.28,100,21,True,2019-01-23 09:49:52,R_3gTWlTkow5RW43C,,,,,40.356292724609375,-111.7324981689453125,anonymous,EN,,79
