StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q2_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What percent of North American and European countries are members of NATO (the North American Treaty Organizations)? - % NATO members,What percent of North American and European countries are members of NATO (the North American Treaty Organizations)? - % NATO members
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID1_1""}"
2018-01-31 08:13:03,2018-01-31 08:13:16,IP Address,128.187.116.26,100,13,True,2018-01-31 08:13:17,R_2ampVhkxGG8Dnp7,,,,,40.356292724609,-111.73249816895,anonymous,EN,,74
2018-01-31 08:13:02,2018-01-31 08:13:35,IP Address,128.187.116.30,100,32,True,2018-01-31 08:13:35,R_3IXLDYgk3q5OYPF,,,,,40.356292724609,-111.73249816895,anonymous,EN,95,
2018-01-31 08:13:01,2018-01-31 08:13:37,IP Address,128.187.116.17,100,36,True,2018-01-31 08:13:37,R_uskr5LNZwf6Q8N3,,,,,40.356292724609,-111.73249816895,anonymous,EN,,100
2018-01-31 08:13:11,2018-01-31 08:13:38,IP Address,128.187.116.4,100,27,True,2018-01-31 08:13:39,R_sHGqJIUyqQX4PBf,,,,,40.356292724609,-111.73249816895,anonymous,EN,,91
2018-01-31 08:13:01,2018-01-31 08:13:40,IP Address,128.187.116.16,100,38,True,2018-01-31 08:13:41,R_sXPONS4QpmnBR3b,,,,,40.356292724609,-111.73249816895,anonymous,EN,,50
2018-01-31 08:13:05,2018-01-31 08:13:41,IP Address,128.187.116.28,100,35,True,2018-01-31 08:13:41,R_3IXpoWDuF7RXAa8,,,,,40.356292724609,-111.73249816895,anonymous,EN,100,
2018-01-31 08:13:01,2018-01-31 08:13:41,IP Address,128.187.116.17,100,40,True,2018-01-31 08:13:41,R_2RaB8KPGZCSXbZA,,,,,40.356292724609,-111.73249816895,anonymous,EN,45,
2018-01-31 08:13:03,2018-01-31 08:13:49,IP Address,128.187.116.13,100,46,True,2018-01-31 08:13:50,R_3NIYgv9nhuditTV,,,,,40.356292724609,-111.73249816895,anonymous,EN,85,
2018-01-31 08:13:04,2018-01-31 08:13:49,IP Address,128.187.116.19,100,44,True,2018-01-31 08:13:50,R_cHcQMypblQy9MmR,,,,,40.356292724609,-111.73249816895,anonymous,EN,,5
2018-01-31 08:12:59,2018-01-31 08:13:59,IP Address,128.187.116.12,100,59,True,2018-01-31 08:13:59,R_2rwjsiLEJnzYn9C,,,,,40.356292724609,-111.73249816895,anonymous,EN,65,
2018-01-31 08:13:07,2018-01-31 08:14:03,IP Address,128.187.116.25,100,55,True,2018-01-31 08:14:03,R_AsKzmwadHK1Wl5n,,,,,40.356292724609,-111.73249816895,anonymous,EN,50,
2018-01-31 08:13:03,2018-01-31 08:14:03,IP Address,128.187.116.19,100,59,True,2018-01-31 08:14:03,R_bsjXNnIIDaVbtSx,,,,,40.356292724609,-111.73249816895,anonymous,EN,,92
2018-01-31 08:13:41,2018-01-31 08:14:03,IP Address,128.187.116.24,100,22,True,2018-01-31 08:14:04,R_1DFGeXIWzaq6aHE,,,,,40.356292724609,-111.73249816895,anonymous,EN,79,
2018-01-31 08:13:59,2018-01-31 08:14:12,IP Address,128.187.116.19,100,13,True,2018-01-31 08:14:13,R_9SMPHJbqfB9653j,,,,,40.356292724609,-111.73249816895,anonymous,EN,,15
2018-01-31 08:13:02,2018-01-31 08:14:16,IP Address,128.187.116.26,100,74,True,2018-01-31 08:14:16,R_u4yUNaA1WUnut1L,,,,,40.356292724609,-111.73249816895,anonymous,EN,90,
2018-01-31 08:13:12,2018-01-31 08:14:16,IP Address,128.187.116.3,100,64,True,2018-01-31 08:14:16,R_2rPCgOLOUhGNrgZ,,,,,40.356292724609,-111.73249816895,anonymous,EN,,92
2018-01-31 08:18:37,2018-01-31 08:19:26,IP Address,128.187.116.29,100,49,True,2018-01-31 08:19:26,R_3HhxhxXhShBJ7g7,,,,,40.356292724609,-111.73249816895,anonymous,EN,66,
2018-01-31 09:36:44,2018-01-31 09:37:07,IP Address,128.187.116.0,100,23,True,2018-01-31 09:37:08,R_3HTia1fXthNSBPU,,,,,40.356292724609,-111.73249816895,anonymous,EN,,60
2018-01-31 09:36:53,2018-01-31 09:37:23,IP Address,128.187.116.24,100,29,True,2018-01-31 09:37:23,R_3Hwqx9o6IhIGCRu,,,,,40.356292724609,-111.73249816895,anonymous,EN,90,
2018-01-31 09:36:50,2018-01-31 09:37:25,IP Address,128.187.116.31,100,34,True,2018-01-31 09:37:25,R_rrrctTf698mDyH7,,,,,40.356292724609,-111.73249816895,anonymous,EN,60,
2018-01-31 09:37:07,2018-01-31 09:37:25,IP Address,128.187.116.17,100,18,True,2018-01-31 09:37:26,R_9MofDbr1htG3Xbz,,,,,40.356292724609,-111.73249816895,anonymous,EN,,54
2018-01-31 09:36:57,2018-01-31 09:37:28,IP Address,128.187.116.2,100,31,True,2018-01-31 09:37:29,R_qIQpPgwFmG4tIYh,,,,,40.356292724609,-111.73249816895,anonymous,EN,,100
2018-01-31 09:36:48,2018-01-31 09:37:29,IP Address,128.187.116.1,100,41,True,2018-01-31 09:37:29,R_2dQDOI4szn6iLQy,,,,,40.356292724609,-111.73249816895,anonymous,EN,72,
2018-01-31 09:36:53,2018-01-31 09:37:31,IP Address,128.187.116.26,100,38,True,2018-01-31 09:37:32,R_1lhoqceBTnkehIz,,,,,40.356292724609,-111.73249816895,anonymous,EN,,72
2018-01-31 09:37:09,2018-01-31 09:37:32,IP Address,128.187.116.31,100,23,True,2018-01-31 09:37:32,R_1OQ8k2xIvB5zmlL,,,,,40.356292724609,-111.73249816895,anonymous,EN,,50
2018-01-31 09:37:02,2018-01-31 09:37:38,IP Address,128.187.116.26,100,35,True,2018-01-31 09:37:38,R_2azzvAqbWq8FhfL,,,,,40.356292724609,-111.73249816895,anonymous,EN,,22
2018-01-31 09:37:03,2018-01-31 09:37:43,IP Address,128.187.116.13,100,39,True,2018-01-31 09:37:44,R_sziOB42drqhpOOR,,,,,40.356292724609,-111.73249816895,anonymous,EN,88,
2018-01-31 09:37:06,2018-01-31 09:37:50,IP Address,128.187.116.27,100,43,True,2018-01-31 09:37:50,R_RkpLGFB5S72yWOJ,,,,,40.356292724609,-111.73249816895,anonymous,EN,,63
2018-01-31 09:37:01,2018-01-31 09:38:02,IP Address,128.187.116.6,100,60,True,2018-01-31 09:38:02,R_uxB1OaEKYCQbhZL,,,,,40.356292724609,-111.73249816895,anonymous,EN,43,
2018-01-31 09:37:25,2018-01-31 09:38:11,IP Address,128.187.116.11,100,46,True,2018-01-31 09:38:12,R_3PZxmKX3R0TtcrZ,,,,,40.356292724609,-111.73249816895,anonymous,EN,92,
2018-01-31 09:37:51,2018-01-31 09:38:17,IP Address,128.187.116.8,100,25,True,2018-01-31 09:38:17,R_10qrrtD5H3XEYqe,,,,,40.356292724609,-111.73249816895,anonymous,EN,80,
2018-01-31 09:38:13,2018-01-31 09:38:58,IP Address,128.187.116.25,100,44,True,2018-01-31 09:38:58,R_UzHAp3xCIqiLQOd,,,,,40.356292724609,-111.73249816895,anonymous,EN,70,
2019-01-22 22:16:59,2019-01-22 22:16:59,Survey Test,,100,0,True,2019-01-22 22:16:59,R_abogDzKSSM2R3Eh,,,,,40.109893798828125,-111.64620208740234375,test,,99,
